Datetime;Resolution code;Offshore/onshore;Region;Grid connection type;Measured & upscaled;Most recent forecast;Most recent P10;Most recent P90;Day Ahead 11AM Forecast;Day Ahead 11AM P10;Day Ahead 11AM P90;Day-ahead 6PM forecast;Day-ahead 6PM P10;Day-ahead 6PM P90;Week-ahead forecast;Week-ahead P10;Week-ahead P90;Monitored capacity;Load factor;Decremental bid Indicator
28-03-22 23:45;0.00:15:00;Offshore;Federal;Elia;;326.88;0.1;1250.39;;;;;;;326.88;0.1;1250.39;2254.4;;0
28-03-22 23:30;0.00:15:00;Offshore;Federal;Elia;;341.05;0.6;1272.78;;;;;;;341.05;0.6;1272.78;2254.4;;0
28-03-22 23:15;0.00:15:00;Offshore;Federal;Elia;;355.59;0.61;1287.81;;;;;;;355.59;0.61;1287.81;2254.4;;0
28-03-22 23:00;0.00:15:00;Offshore;Federal;Elia;;370.51;0.1;1316.04;;;;;;;370.51;0.1;1316.04;2254.4;;0
28-03-22 22:45;0.00:15:00;Offshore;Federal;Elia;;389.05;0.1;1324.99;;;;;;;389.05;0.1;1324.99;2254.4;;0
28-03-22 22:30;0.00:15:00;Offshore;Federal;Elia;;393.54;0.1;1316.25;;;;;;;393.54;0.1;1316.25;2254.4;;0
28-03-22 22:15;0.00:15:00;Offshore;Federal;Elia;;374.57;0.1;1323.26;;;;;;;374.57;0.1;1323.26;2254.4;;0
28-03-22 22:00;0.00:15:00;Offshore;Federal;Elia;;368.65;0.1;1333.51;;;;;;;368.65;0.1;1333.51;2254.4;;0
28-03-22 21:45;0.00:15:00;Offshore;Federal;Elia;;370.33;0.1;1354.34;;;;;;;370.33;0.1;1354.34;2254.4;;0
28-03-22 21:30;0.00:15:00;Offshore;Federal;Elia;;378.32;0.1;1385.88;;;;;;;378.32;0.1;1385.88;2254.4;;0
28-03-22 21:15;0.00:15:00;Offshore;Federal;Elia;;379.14;0.1;1421.42;;;;;;;379.14;0.1;1421.42;2254.4;;0
28-03-22 21:00;0.00:15:00;Offshore;Federal;Elia;;366.02;0.59;1464.35;;;;;;;366.02;0.59;1464.35;2254.4;;0
28-03-22 20:45;0.00:15:00;Offshore;Federal;Elia;;390.5;0.6;1487.88;;;;;;;390.5;0.6;1487.88;2254.4;;0
28-03-22 20:30;0.00:15:00;Offshore;Federal;Elia;;424.64;0.1;1523.03;;;;;;;424.64;0.1;1523.03;2254.4;;0
28-03-22 20:15;0.00:15:00;Offshore;Federal;Elia;;428.46;0.1;1578.86;;;;;;;428.46;0.1;1578.86;2254.4;;0
28-03-22 20:00;0.00:15:00;Offshore;Federal;Elia;;432.3;0.1;1594.45;;;;;;;432.3;0.1;1594.45;2254.4;;0
28-03-22 19:45;0.00:15:00;Offshore;Federal;Elia;;409.53;0.1;1562.05;;;;;;;409.53;0.1;1562.05;2254.4;;0
28-03-22 19:30;0.00:15:00;Offshore;Federal;Elia;;398.54;0.1;1512.76;;;;;;;398.54;0.1;1512.76;2254.4;;0
28-03-22 19:15;0.00:15:00;Offshore;Federal;Elia;;395.51;0.1;1443.39;;;;;;;395.51;0.1;1443.39;2254.4;;0
28-03-22 19:00;0.00:15:00;Offshore;Federal;Elia;;392.5;0.1;1394.36;;;;;;;392.5;0.1;1394.36;2254.4;;0
28-03-22 18:45;0.00:15:00;Offshore;Federal;Elia;;386.84;0.1;1344.78;;;;;;;386.84;0.1;1344.78;2254.4;;0
28-03-22 18:30;0.00:15:00;Offshore;Federal;Elia;;383.87;0.1;1292.44;;;;;;;383.87;0.1;1292.44;2254.4;;0
28-03-22 18:15;0.00:15:00;Offshore;Federal;Elia;;376.91;0.1;1224.96;;;;;;;376.91;0.1;1224.96;2254.4;;0
28-03-22 18:00;0.00:15:00;Offshore;Federal;Elia;;341.19;0.1;1170.55;;;;;;;341.19;0.1;1170.55;2254.4;;0
